"long","lat","County","State"
"-95.5642100069153","39.8264160069991","brown","kansas"
"-87.8161713495819","41.839624943847","cook","illinois"
"-89.4225828741154","38.6064880250622","clinton","illinois"
"-88.1538269949549","39.0099771684023","jasper","illinois"
"-90.4746711274962","39.6440609814856","scott","illinois"
"-87.8444029236177","38.4460185275986","wabash","illinois"
"-88.053312975562","38.4164074590028","edwards","illinois"
"-89.9282443716364","38.4702164599753","st. clair","illinois"
"-88.4286613894737","41.938650806526","kane","illinois"
"-89.6590957982551","39.7581283852751","sangamon","illinois"
"-90.2474365688097","39.9735877855611","cass","illinois"
"-90.5679975480839","41.4673784643486","rock island","illinois"
"-89.6622534412787","42.3517773347471","stephenson","illinois"
"-90.6778723643666","40.4561504602734","mcdonough","illinois"
"-89.8022434657481","40.0274183683473","menard","illinois"
